Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
"St. Louis Blues","2014/04/10  @ MIN","MIN","1","0","1","0","0","0","2","4","45","15","1","4","25.0","4","0","100.0","25","20","55.6"
"Detroit Red Wings","2014/04/08  @ BUF","BUF","1","1","0","0","0","2","4","2","37","27","0","5","0.0","3","0","100.0","38","17","69.1"
"Los Angeles Kings","2014/01/02  @ STL","STL","1","0","1","0","0","0","0","5","30","26","0","6","0.0","5","2","60.0","24","32","42.9"
"Philadelphia Flyers","2013/12/12  vs. MTL","MTL","1","1","0","0","0","2","2","1","27","21","0","3","0.0","1","0","100.0","25","32","43.9"
"Columbus Blue Jackets","2013/12/31  @ COL","COL","1","0","1","0","0","0","3","5","38","23","0","3","0.0","3","3","0.0","30","31","49.2"
"Calgary Flames","2013/10/06  vs. VAN","VAN","1","0","0","0","1","1","4","5","36","28","0","3","0.0","1","0","100.0","24","35","40.7"
"Toronto Maple Leafs","2013/10/29  @ EDM","EDM","1","1","0","0","0","2","4","0","26","43","0","1","0.0","1","0","100.0","24","37","39.3"
"Chicago Blackhawks","2014/01/08  vs. NYR","NYR","1","0","1","0","0","0","2","3","37","32","1","3","33.3","2","1","50.0","32","26","55.2"
"San Jose Sharks","2014/01/29  @ EDM","EDM","1","0","1","0","0","0","0","3","59","27","0","3","0.0","2","1","50.0","34","36","48.6"
"Minnesota Wild","2013/10/10  vs. WPG","WPG","1","1","0","0","0","2","2","1","30","15","0","6","0.0","5","1","80.0","45","16","73.8"
"Florida Panthers","2013/12/10  vs. DET","DET","1","1","0","0","0","2","2","2","27","26","0","3","0.0","4","1","75.0","32","30","51.6"
"Washington Capitals","2013/10/12  vs. COL","COL","1","0","1","0","0","0","1","5","41","28","0","2","0.0","3","1","66.7","35","35","50.0"
"Buffalo Sabres","2014/01/02  @ MIN","MIN","1","0","1","0","0","0","1","4","20","31","0","4","0.0","4","0","100.0","22","25","46.8"
"Los Angeles Kings","2013/12/15  @ CHI","CHI","1","0","1","0","0","0","1","3","22","40","0","3","0.0","3","1","66.7","31","24","56.4"
"Phoenix Coyotes","2014/01/14  @ STL","STL","1","0","1","0","0","0","1","2","21","18","1","3","33.3","3","1","66.7","33","30","52.4"
"Phoenix Coyotes","2013/11/16  vs. TBL","TBL","1","1","0","0","0","2","6","3","30","30","2","3","66.7","2","0","100.0","31","28","52.5"
"Chicago Blackhawks","2013/10/01  vs. WSH","WSH","1","1","0","0","0","2","6","4","34","32","1","4","25.0","6","3","50.0","31","29","51.7"
"San Jose Sharks","2013/10/05  vs. PHX","PHX","1","1","0","0","0","2","4","1","51","23","2","4","50.0","1","0","100.0","39","43","47.6"
"Detroit Red Wings","2013/11/24  @ BUF","BUF","1","1","0","0","0","2","3","1","34","22","1","3","33.3","2","0","100.0","30","31","49.2"
"Minnesota Wild","2013/11/07  @ WSH","WSH","1","0","0","0","1","1","2","2","35","27","1","3","33.3","3","1","66.7","34","25","57.6"
"Nashville Predators","2013/10/19  @ MTL","MTL","1","1","0","0","0","2","2","1","37","29","1","6","16.7","5","0","100.0","35","30","53.8"
"Toronto Maple Leafs","2013/11/23  vs. WSH","WSH","1","1","0","0","0","2","1","1","28","50","1","1","100.0","3","0","100.0","39","24","61.9"
"San Jose Sharks","2014/01/04  @ COL","COL","1","0","1","0","0","0","3","4","33","21","1","3","33.3","4","1","75.0","38","28","57.6"
"Philadelphia Flyers","2013/10/11  vs. PHX","PHX","1","0","1","0","0","0","1","2","37","31","0","4","0.0","6","1","83.3","34","32","51.5"
"New Jersey Devils","2013/12/23  @ CHI","CHI","1","0","1","0","0","0","2","5","12","37","0","1","0.0","4","1","75.0","18","38","32.1"
"Tampa Bay Lightning","2013/12/19  vs. NSH","NSH","1","1","0","0","0","2","4","2","33","30","1","4","25.0","5","1","80.0","28","32","46.7"
"Nashville Predators","2014/01/12  vs. MIN","MIN","1","0","1","0","0","0","0","4","23","23","0","2","0.0","1","0","100.0","28","19","59.6"
"Los Angeles Kings","2014/01/13  vs. VAN","VAN","1","1","0","0","0","2","1","0","20","28","0","7","0.0","4","0","100.0","15","26","36.6"
"Florida Panthers","2013/12/29  vs. MTL","MTL","1","1","0","0","0","2","4","1","25","22","0","3","0.0","3","0","100.0","22","33","40.0"
"Phoenix Coyotes","2014/01/11  vs. ANA","ANA","1","0","1","0","0","0","3","5","31","30","1","6","16.7","3","1","66.7","35","30","53.8"
"Vancouver Canucks","2014/04/10  vs. COL","COL","1","0","1","0","0","0","2","4","40","28","0","0","0.0","4","1","75.0","36","30","54.5"
"Detroit Red Wings","2014/04/05  @ MTL","MTL","1","0","1","0","0","0","3","5","37","26","2","5","40.0","3","0","100.0","30","26","53.6"
"Edmonton Oilers","2013/10/29  vs. TOR","TOR","1","0","1","0","0","0","0","4","43","26","0","1","0.0","1","0","100.0","37","24","60.7"
"Los Angeles Kings","2014/03/01  vs. CAR","CAR","1","1","0","0","0","2","3","1","31","25","1","6","16.7","3","0","100.0","28","31","47.4"
"Nashville Predators","2013/12/17  vs. CHI","CHI","1","0","1","0","0","0","1","3","28","27","1","7","14.3","5","2","60.0","34","19","64.1"
"Winnipeg Jets","2014/03/24  @ DAL","DAL","1","0","1","0","0","0","1","2","33","27","1","3","33.3","4","2","50.0","41","31","56.9"
"Minnesota Wild","2013/11/19  @ MTL","MTL","1","0","1","0","0","0","2","6","27","28","1","3","33.3","5","2","60.0","35","28","55.6"
"Chicago Blackhawks","2013/10/05  vs. TBL","TBL","1","0","0","0","1","1","2","2","39","16","1","5","20.0","1","1","0.0","31","31","50.0"
"Toronto Maple Leafs","2014/04/05  vs. WPG","WPG","1","0","1","0","0","0","2","4","25","41","1","4","25.0","2","1","50.0","35","32","52.2"
"St. Louis Blues","2014/03/09  @ MIN","MIN","1","1","0","0","0","2","2","2","22","19","1","2","50.0","3","0","100.0","35","28","55.6"
"Tampa Bay Lightning","2013/10/26  vs. BUF","BUF","1","1","0","0","0","2","3","2","39","22","1","6","16.7","3","0","100.0","27","23","54.0"
"Detroit Red Wings","2014/02/02  @ WSH","WSH","1","0","0","0","1","1","5","6","30","28","2","3","66.7","6","3","50.0","30","46","39.5"
"Nashville Predators","2013/10/15  vs. FLA","FLA","1","1","0","0","0","2","4","3","30","25","1","2","50.0","1","0","100.0","31","28","52.5"
"Florida Panthers","2013/12/05  vs. WPG","WPG","1","1","0","0","0","2","5","2","26","31","0","2","0.0","1","0","100.0","31","30","50.8"
"Columbus Blue Jackets","2013/10/12  vs. BOS","BOS","1","0","1","0","0","0","1","3","27","36","1","4","25.0","4","0","100.0","28","34","45.2"
"Minnesota Wild","2013/11/17  vs. WPG","WPG","1","1","0","0","0","2","2","1","24","22","0","2","0.0","2","0","100.0","33","19","63.5"
"Tampa Bay Lightning","2014/03/29  @ BUF","BUF","1","1","0","0","0","2","4","3","33","28","2","4","50.0","3","0","100.0","35","36","49.3"
"Columbus Blue Jackets","2013/10/20  vs. VAN","VAN","1","1","0","0","0","2","3","1","29","38","0","5","0.0","3","1","66.7","26","34","43.3"
"Vancouver Canucks","2013/11/22  vs. CBJ","CBJ","1","1","0","0","0","2","6","2","35","16","0","4","0.0","5","0","100.0","33","28","54.1"
"Florida Panthers","2014/01/21  @ BUF","BUF","1","1","0","0","0","2","4","3","22","35","0","1","0.0","7","2","71.4","30","27","52.6"
"Tampa Bay Lightning","2014/03/04  @ STL","STL","1","0","1","0","0","0","2","4","17","29","1","4","25.0","2","0","100.0","27","27","50.0"
"Florida Panthers","2014/03/13  @ TBL","TBL","1","0","1","0","0","0","4","5","27","28","1","2","50.0","4","1","75.0","19","27","41.3"
"Minnesota Wild","2013/12/08  vs. SJS","SJS","1","1","0","0","0","2","3","1","13","38","0","2","0.0","4","0","100.0","35","29","54.7"
"Washington Capitals","2014/03/08  vs. PHX","PHX","1","1","0","0","0","2","3","2","33","33","1","2","50.0","3","1","66.7","26","33","44.1"
"Florida Panthers","2014/03/04  @ BOS","BOS","1","0","1","0","0","0","1","4","24","39","0","3","0.0","2","0","100.0","29","36","44.6"
"New York Rangers","2014/03/09  vs. DET","DET","1","1","0","0","0","2","3","0","31","30","0","3","0.0","3","0","100.0","21","29","42.0"
"Toronto Maple Leafs","2013/12/21  vs. DET","DET","1","0","0","0","1","1","4","4","23","38","1","4","25.0","1","0","100.0","27","31","46.6"
"Montréal Canadiens","2013/10/05  vs. PHI","PHI","1","1","0","0","0","2","4","1","34","23","2","9","22.2","5","1","80.0","38","40","48.7"
"Ottawa Senators","2014/04/12  vs. TOR","TOR","1","1","0","0","0","2","1","0","37","28","1","3","33.3","4","0","100.0","32","23","58.2"
"Dallas Stars","2014/03/04  @ CBJ","CBJ","1","0","1","0","0","0","2","4","33","20","1","3","33.3","2","1","50.0","27","39","40.9"
"New York Rangers","2014/04/10  vs. BUF","BUF","1","1","0","0","0","2","2","1","30","24","0","4","0.0","2","0","100.0","30","27","52.6"
"Minnesota Wild","2013/11/29  vs. COL","COL","1","0","1","0","0","0","1","3","28","21","0","2","0.0","2","0","100.0","21","26","44.7"
"Pittsburgh Penguins","2014/04/13  vs. OTT","OTT","1","0","0","0","1","1","2","2","28","33","1","4","25.0","5","2","60.0","34","32","51.5"
"Winnipeg Jets","2013/10/27  @ COL","COL","1","0","1","0","0","0","2","3","25","36","0","5","0.0","1","0","100.0","21","30","41.2"
"Columbus Blue Jackets","2014/01/02  @ PHX","PHX","1","1","0","0","0","2","2","0","31","34","2","4","50.0","5","0","100.0","27","24","52.9"
"Toronto Maple Leafs","2014/04/12  @ OTT","OTT","1","0","1","0","0","0","0","1","28","37","0","4","0.0","3","1","66.7","23","32","41.8"
"Colorado Avalanche","2013/10/10  @ BOS","BOS","1","1","0","0","0","2","2","0","30","39","1","4","25.0","3","0","100.0","32","32","50.0"
"Buffalo Sabres","2013/10/08  vs. TBL","TBL","1","0","0","0","1","1","2","3","23","34","2","4","50.0","3","1","66.7","26","32","44.8"
"Edmonton Oilers","2014/01/26  vs. NSH","NSH","1","1","0","0","0","2","5","1","27","35","2","3","66.7","3","0","100.0","34","27","55.7"
"Edmonton Oilers","2013/10/19  @ OTT","OTT","1","1","0","0","0","2","3","1","21","36","0","6","0.0","5","0","100.0","24","34","41.4"
"Nashville Predators","2013/11/16  vs. CHI","CHI","1","1","0","0","0","2","7","2","30","41","2","5","40.0","4","0","100.0","43","24","64.2"
"Minnesota Wild","2013/12/11  @ ANA","ANA","1","0","1","0","0","0","1","2","24","31","1","1","100.0","2","0","100.0","32","33","49.2"
"Philadelphia Flyers","2013/11/01  vs. WSH","WSH","1","0","1","0","0","0","0","7","30","32","0","5","0.0","7","2","71.4","31","34","47.7"
"Edmonton Oilers","2014/01/18  @ WPG","WPG","1","0","0","0","1","1","2","3","22","39","1","5","20.0","5","0","100.0","23","25","47.9"
"Vancouver Canucks","2014/03/17  @ TBL","TBL","1","0","1","0","0","0","3","4","28","30","1","3","33.3","4","1","75.0","27","28","49.1"
"New York Islanders","2014/01/29  vs. NYR","NYR","1","0","1","0","0","0","1","2","31","34","0","4","0.0","1","0","100.0","34","27","55.7"
"Tampa Bay Lightning","2014/04/03  vs. CGY","CGY","1","0","1","0","0","0","1","4","32","25","0","3","0.0","2","1","50.0","36","23","61.0"
"New Jersey Devils","2014/03/04  vs. DET","DET","1","1","0","0","0","2","4","3","29","23","1","3","33.3","4","2","50.0","22","27","44.9"
"Ottawa Senators","2013/11/07  vs. MTL","MTL","1","1","0","0","0","2","4","1","24","34","0","5","0.0","5","1","80.0","38","23","62.3"
"Detroit Red Wings","2013/12/28  @ FLA","FLA","1","1","0","0","0","2","4","3","31","33","2","5","40.0","6","1","83.3","32","34","48.5"
"Los Angeles Kings","2014/03/20  vs. WSH","WSH","1","1","0","0","0","2","1","1","28","22","0","3","0.0","3","0","100.0","33","29","53.2"
"Phoenix Coyotes","2014/04/13  vs. DAL","DAL","1","1","0","0","0","2","2","1","31","17","0","5","0.0","2","1","50.0","32","22","59.3"
"Columbus Blue Jackets","2013/10/15  @ DET","DET","1","0","1","0","0","0","1","2","37","32","1","3","33.3","4","1","75.0","32","34","48.5"
"Florida Panthers","2013/11/30  vs. PIT","PIT","1","0","1","0","0","0","1","5","40","22","1","4","25.0","1","1","0.0","28","33","45.9"
"Colorado Avalanche","2014/02/06  @ PHI","PHI","1","0","1","0","0","0","1","3","39","35","0","3","0.0","5","1","80.0","35","36","49.3"
"Montréal Canadiens","2014/03/03  @ LAK","LAK","1","0","1","0","0","0","1","2","18","22","0","3","0.0","4","1","75.0","31","19","62.0"
"Anaheim Ducks","2013/11/02  @ BUF","BUF","1","1","0","0","0","2","6","3","29","17","0","3","0.0","2","1","50.0","32","26","55.2"
"New York Islanders","2014/03/01  vs. NJD","NJD","1","0","1","0","0","0","1","6","19","35","0","3","0.0","8","4","50.0","35","37","48.6"
"Philadelphia Flyers","2014/04/01  @ STL","STL","1","0","0","0","1","1","0","0","31","28","0","2","0.0","3","0","100.0","21","34","38.2"
"Chicago Blackhawks","2013/11/29  @ DAL","DAL","1","1","0","0","0","2","1","1","26","29","0","1","0.0","1","0","100.0","25","29","46.3"
"New York Islanders","2013/11/07  @ CAR","CAR","1","0","1","0","0","0","0","1","21","24","0","3","0.0","2","0","100.0","14","23","37.8"
"St. Louis Blues","2013/11/02  @ TBL","TBL","1","0","1","0","0","0","2","4","30","25","0","3","0.0","3","0","100.0","30","30","50.0"
"Detroit Red Wings","2013/10/26  vs. NYR","NYR","1","0","0","0","1","1","2","3","34","40","1","4","25.0","3","1","66.7","34","32","51.5"
"New York Rangers","2013/10/10  @ ANA","ANA","1","0","1","0","0","0","0","6","34","37","0","2","0.0","6","0","100.0","29","33","46.8"
"Pittsburgh Penguins","2014/03/28  @ CBJ","CBJ","1","1","0","0","0","2","2","1","31","36","0","4","0.0","4","1","75.0","22","30","42.3"
"St. Louis Blues","2013/12/31  @ MIN","MIN","1","1","0","0","0","2","2","1","23","25","0","1","0.0","3","0","100.0","26","20","56.5"
"Ottawa Senators","2013/12/30  vs. WSH","WSH","1","1","0","0","0","2","3","1","38","35","0","4","0.0","2","0","100.0","32","27","54.2"
"Montréal Canadiens","2013/11/15  @ CBJ","CBJ","1","1","0","0","0","2","2","2","40","25","1","4","25.0","3","0","100.0","31","27","53.4"
"Pittsburgh Penguins","2014/01/03  vs. NYR","NYR","1","1","0","0","0","2","5","2","28","35","1","2","50.0","3","0","100.0","33","34","49.3"
"Phoenix Coyotes","2014/02/28  @ COL","COL","1","0","1","0","0","0","2","4","42","33","2","5","40.0","4","2","50.0","25","33","43.1"
"Los Angeles Kings","2014/02/01  vs. PHI","PHI","1","0","1","0","0","0","0","2","35","13","0","3","0.0","2","1","50.0","32","22","59.3"
"San Jose Sharks","2014/02/28  @ BUF","BUF","1","0","1","0","0","0","2","4","38","20","0","2","0.0","2","1","50.0","28","34","45.2"
"Chicago Blackhawks","2013/11/03  vs. CGY","CGY","1","0","0","0","1","1","2","3","44","30","1","3","33.3","0","0","0.0","45","29","60.8"
"Colorado Avalanche","2014/01/08  vs. OTT","OTT","1","1","0","0","0","2","4","3","31","32","1","1","100.0","3","1","66.7","27","26","50.9"
"New York Islanders","2013/12/20  @ NYR","NYR","1","1","0","0","0","2","5","3","20","24","1","4","25.0","7","2","71.4","30","23","56.6"
"Florida Panthers","2014/03/20  @ PHX","PHX","1","0","1","0","0","0","1","2","23","22","0","3","0.0","1","1","0.0","15","34","30.6"
"Tampa Bay Lightning","2013/10/24  vs. CHI","CHI","1","1","0","0","0","2","6","5","25","43","2","4","50.0","6","1","83.3","36","38","48.6"
"New Jersey Devils","2013/12/28  @ NYI","NYI","1","1","0","0","0","2","2","1","25","31","0","1","0.0","3","0","100.0","20","21","48.8"
"Detroit Red Wings","2014/01/04  @ DAL","DAL","1","1","0","0","0","2","5","1","27","45","0","4","0.0","7","0","100.0","22","37","37.3"
"Boston Bruins","2014/03/09  @ FLA","FLA","1","1","0","0","0","2","5","2","42","22","2","4","50.0","4","0","100.0","36","34","51.4"
"Anaheim Ducks","2013/11/22  vs. TBL","TBL","1","1","0","0","0","2","1","0","42","31","0","3","0.0","6","0","100.0","38","30","55.9"
"San Jose Sharks","2014/04/03  vs. LAK","LAK","1","1","0","0","0","2","2","1","21","27","1","2","50.0","5","0","100.0","30","32","48.4"
"St. Louis Blues","2014/03/08  @ COL","COL","1","1","0","0","0","2","2","1","25","27","0","1","0.0","3","0","100.0","33","30","52.4"
"Tampa Bay Lightning","2014/01/23  vs. OTT","OTT","1","1","0","0","0","2","3","3","38","36","0","2","0.0","3","2","33.3","47","30","61.0"
"Philadelphia Flyers","2013/11/19  vs. OTT","OTT","1","1","0","0","0","2","5","2","42","34","1","4","25.0","6","2","66.7","32","31","50.8"
"Chicago Blackhawks","2014/01/28  @ CGY","CGY","1","0","0","0","1","1","4","5","33","29","0","1","0.0","2","0","100.0","28","28","50.0"
"Nashville Predators","2014/04/05  @ SJS","SJS","1","1","0","0","0","2","3","0","24","35","0","1","0.0","2","0","100.0","41","31","56.9"
"Phoenix Coyotes","2014/03/04  vs. VAN","VAN","1","1","0","0","0","2","1","0","32","23","0","3","0.0","0","0","0.0","27","30","47.4"
"Pittsburgh Penguins","2013/11/06  @ NYR","NYR","1","0","1","0","0","0","1","5","29","25","1","6","16.7","4","0","100.0","29","29","50.0"
"Detroit Red Wings","2013/11/02  @ EDM","EDM","1","1","0","0","0","2","5","0","31","14","1","5","20.0","3","0","100.0","40","22","64.5"
"Pittsburgh Penguins","2013/11/01  vs. CBJ","CBJ","1","1","0","0","0","2","4","2","27","39","2","4","50.0","4","0","100.0","31","26","54.4"
"Minnesota Wild","2014/03/22  vs. DET","DET","1","0","1","0","0","0","2","3","30","30","1","3","33.3","2","2","0.0","32","32","50.0"
"Ottawa Senators","2013/11/20  vs. MIN","MIN","1","0","1","0","0","0","3","4","37","25","1","2","50.0","3","1","66.7","35","26","57.4"
"Calgary Flames","2013/10/16  @ ANA","ANA","1","0","1","0","0","0","2","3","35","22","0","4","0.0","2","0","100.0","30","46","39.5"
"San Jose Sharks","2013/11/14  @ VAN","VAN","1","1","0","0","0","2","2","1","30","35","1","4","25.0","2","1","50.0","37","39","48.7"
"Columbus Blue Jackets","2013/11/30  @ BOS","BOS","1","0","1","0","0","0","1","3","14","36","1","2","50.0","6","1","83.3","22","34","39.3"
"Buffalo Sabres","2014/04/13  vs. NYI","NYI","1","0","0","0","1","1","3","3","39","25","0","2","0.0","2","1","50.0","34","31","52.3"
"Pittsburgh Penguins","2013/11/18  vs. ANA","ANA","1","1","0","0","0","2","3","1","27","28","0","3","0.0","1","0","100.0","29","20","59.2"
"Carolina Hurricanes","2013/10/19  @ NYI","NYI","1","1","0","0","0","2","4","3","23","25","1","3","33.3","5","2","60.0","24","29","45.3"
"Calgary Flames","2013/10/21  @ LAK","LAK","1","1","0","0","0","2","3","2","25","29","3","6","50.0","3","1","66.7","25","44","36.2"
"Florida Panthers","2014/03/09  vs. BOS","BOS","1","0","1","0","0","0","2","5","22","42","0","4","0.0","4","2","50.0","34","36","48.6"
"Ottawa Senators","2014/02/04  @ STL","STL","1","1","0","0","0","2","4","4","31","50","0","1","0.0","7","0","100.0","32","38","45.7"
"Florida Panthers","2014/04/01  @ NYI","NYI","1","0","1","0","0","0","2","4","22","40","1","3","33.3","4","1","75.0","29","29","50.0"
"Boston Bruins","2014/01/16  @ DAL","DAL","1","1","0","0","0","2","4","2","41","34","1","4","25.0","6","1","83.3","40","33","54.8"
"Detroit Red Wings","2014/03/14  vs. EDM","EDM","1","1","0","0","0","2","1","1","23","22","0","4","0.0","2","0","100.0","29","27","51.8"
"Florida Panthers","2013/11/09  @ OTT","OTT","1","0","1","0","0","0","2","3","28","32","0","5","0.0","3","1","66.7","28","30","48.3"
"Minnesota Wild","2013/11/13  vs. TOR","TOR","1","1","0","0","0","2","1","1","34","23","0","5","0.0","3","1","66.7","29","32","47.5"
"Carolina Hurricanes","2013/10/28  vs. PIT","PIT","1","0","1","0","0","0","1","3","21","29","1","5","20.0","3","0","100.0","25","32","43.9"
"Calgary Flames","2013/12/15  @ NYR","NYR","1","0","0","0","1","1","3","3","21","32","1","5","20.0","4","0","100.0","28","39","41.8"
"Pittsburgh Penguins","2014/01/11  @ CGY","CGY","1","1","0","0","0","2","2","1","26","28","0","3","0.0","6","1","83.3","22","23","48.9"
"Vancouver Canucks","2014/03/12  @ WPG","WPG","1","1","0","0","0","2","2","2","33","34","0","5","0.0","4","0","100.0","39","36","52.0"
"San Jose Sharks","2013/12/21  vs. DAL","DAL","1","1","0","0","0","2","2","2","39","46","0","3","0.0","2","0","100.0","26","33","44.1"
"Toronto Maple Leafs","2013/10/25  @ CBJ","CBJ","1","0","1","0","0","0","2","5","25","36","0","3","0.0","6","1","83.3","23","44","34.3"
"Philadelphia Flyers","2014/04/08  @ FLA","FLA","1","1","0","0","0","2","5","2","27","40","0","3","0.0","1","0","100.0","32","34","48.5"
"Vancouver Canucks","2014/02/06  @ MTL","MTL","1","0","1","0","0","0","2","5","44","29","2","5","40.0","1","1","0.0","36","33","52.2"
"Colorado Avalanche","2013/11/12  @ CAR","CAR","1","0","1","0","0","0","1","2","34","28","1","2","50.0","1","0","100.0","26","36","41.9"
"San Jose Sharks","2014/02/05  vs. DAL","DAL","1","1","0","0","0","2","2","1","21","20","0","3","0.0","1","0","100.0","36","38","48.6"
"Ottawa Senators","2013/10/17  vs. NJD","NJD","1","1","0","0","0","2","5","2","23","42","0","4","0.0","7","1","85.7","36","28","56.3"
"Phoenix Coyotes","2013/11/05  vs. VAN","VAN","1","1","0","0","0","2","2","2","32","33","0","3","0.0","3","1","66.7","30","39","43.5"
"Tampa Bay Lightning","2013/11/11  @ BOS","BOS","1","0","1","0","0","0","0","3","28","26","0","4","0.0","1","0","100.0","27","27","50.0"
"St. Louis Blues","2013/12/23  @ CGY","CGY","1","0","0","0","1","1","3","3","35","29","1","4","25.0","5","2","60.0","33","35","48.5"
"Detroit Red Wings","2014/01/20  vs. STL","STL","1","0","1","0","0","0","1","4","23","39","1","6","16.7","5","1","80.0","39","25","60.9"
"Minnesota Wild","2014/03/29  @ PHX","PHX","1","1","0","0","0","2","3","1","30","24","0","1","0.0","4","1","75.0","21","32","39.6"
"Philadelphia Flyers","2013/11/25  @ FLA","FLA","1","0","1","0","0","0","1","3","39","31","1","4","25.0","2","1","50.0","29","30","49.2"
"Buffalo Sabres","2014/01/18  vs. CBJ","CBJ","1","0","0","0","1","1","3","3","29","35","1","4","25.0","2","1","50.0","33","25","56.9"
"Pittsburgh Penguins","2014/01/27  vs. BUF","BUF","1","1","0","0","0","2","3","0","34","24","0","1","0.0","3","0","100.0","31","14","68.9"
"Ottawa Senators","2013/12/10  @ BUF","BUF","1","0","0","0","1","1","1","1","36","36","0","3","0.0","3","0","100.0","33","31","51.6"
"St. Louis Blues","2014/01/09  @ CGY","CGY","1","1","0","0","0","2","5","0","29","33","2","6","33.3","6","0","100.0","33","25","56.9"
"Toronto Maple Leafs","2013/12/03  vs. SJS","SJS","1","0","1","0","0","0","2","4","30","41","2","3","66.7","4","1","75.0","35","32","52.2"
"New Jersey Devils","2014/01/09  vs. DAL","DAL","1","1","0","0","0","2","1","0","34","26","0","2","0.0","3","0","100.0","33","33","50.0"
"Toronto Maple Leafs","2013/12/19  vs. PHX","PHX","1","1","0","0","0","2","1","1","27","35","0","3","0.0","2","0","100.0","21","32","39.6"
"Washington Capitals","2013/12/27  vs. NYR","NYR","1","1","0","0","0","2","3","2","34","40","1","4","25.0","3","1","66.7","33","33","50.0"
"Los Angeles Kings","2013/12/02  vs. STL","STL","1","1","0","0","0","2","3","2","23","27","0","2","0.0","3","0","100.0","37","25","59.7"
"Minnesota Wild","2013/12/17  vs. VAN","VAN","1","1","0","0","0","2","2","2","32","31","1","2","50.0","2","0","100.0","32","30","51.6"
"Minnesota Wild","2013/12/06  @ CBJ","CBJ","1","0","1","0","0","0","0","4","20","41","0","4","0.0","3","1","66.7","21","26","44.7"
"Philadelphia Flyers","2014/01/18  vs. NYI","NYI","1","1","0","0","0","2","6","4","32","29","0","2","0.0","3","0","100.0","39","19","67.2"
"Ottawa Senators","2013/10/13  @ ANA","ANA","1","0","1","0","0","0","1","4","31","56","0","1","0.0","6","0","100.0","24","38","38.7"
"Winnipeg Jets","2014/03/19  vs. COL","COL","1","1","0","0","0","2","5","4","27","27","1","2","50.0","1","0","100.0","30","28","51.7"
"Tampa Bay Lightning","2013/11/21  @ SJS","SJS","1","0","1","0","0","0","1","5","37","36","0","1","0.0","2","0","100.0","21","37","36.2"
"Detroit Red Wings","2013/12/15  vs. TBL","TBL","1","0","1","0","0","0","0","3","28","26","0","3","0.0","3","0","100.0","28","28","50.0"
"Pittsburgh Penguins","2013/11/30  @ FLA","FLA","1","1","0","0","0","2","5","1","22","40","1","1","100.0","4","1","75.0","33","28","54.1"
"Calgary Flames","2013/11/20  vs. CBJ","CBJ","1","0","0","0","1","1","1","2","24","18","0","0","0.0","3","0","100.0","27","25","51.9"
"Montréal Canadiens","2013/10/15  @ WPG","WPG","1","1","0","0","0","2","3","0","25","36","1","5","20.0","3","0","100.0","39","32","54.9"
"Columbus Blue Jackets","2014/04/12  @ FLA","FLA","1","1","0","0","0","2","3","2","38","35","2","5","40.0","4","0","100.0","26","28","48.1"
"Ottawa Senators","2014/03/25  @ FLA","FLA","1","0","0","0","1","1","2","2","39","41","1","2","50.0","2","0","100.0","36","25","59.0"
"Columbus Blue Jackets","2014/04/03  @ PHI","PHI","1","1","0","0","0","2","2","0","27","37","1","4","25.0","4","0","100.0","22","34","39.3"
"Los Angeles Kings","2013/11/14  @ NYI","NYI","1","1","0","0","0","2","3","2","24","25","1","3","33.3","4","0","100.0","31","22","58.5"
"Washington Capitals","2014/03/02  vs. PHI","PHI","1","0","0","0","1","1","4","5","29","36","0","6","0.0","4","2","50.0","23","37","38.3"
"Los Angeles Kings","2014/03/22  vs. FLA","FLA","1","1","0","0","0","2","4","0","29","24","1","3","33.3","2","0","100.0","34","22","60.7"
"Dallas Stars","2013/10/17  vs. SJS","SJS","1","1","0","0","0","2","3","3","31","35","0","3","0.0","5","0","100.0","34","33","50.7"
"Colorado Avalanche","2013/11/30  vs. MIN","MIN","1","1","0","0","0","2","2","2","25","37","0","0","0.0","0","0","0.0","38","31","55.1"
"Florida Panthers","2014/01/04  vs. NSH","NSH","1","1","0","0","0","2","4","4","29","42","0","2","0.0","2","0","100.0","24","31","43.6"
"Ottawa Senators","2014/01/28  @ CBJ","CBJ","1","1","0","0","0","2","3","2","28","36","2","4","50.0","5","2","60.0","25","43","36.8"
"Winnipeg Jets","2013/11/25  @ NJD","NJD","1","1","0","0","0","2","3","1","22","26","0","2","0.0","2","0","100.0","29","21","58.0"
"Buffalo Sabres","2013/10/25  @ FLA","FLA","1","1","0","0","0","2","3","1","21","45","0","1","0.0","2","0","100.0","27","30","47.4"
"New Jersey Devils","2013/10/19  vs. NYR","NYR","1","1","0","0","0","2","4","0","19","22","1","4","25.0","2","0","100.0","30","29","50.8"
"Philadelphia Flyers","2013/12/28  @ EDM","EDM","1","1","0","0","0","2","3","3","38","16","3","5","60.0","5","1","80.0","39","35","52.7"
"San Jose Sharks","2014/01/25  vs. MIN","MIN","1","1","0","0","0","2","3","2","32","22","0","2","0.0","2","0","100.0","41","18","69.5"
"Carolina Hurricanes","2014/01/09  vs. TOR","TOR","1","1","0","0","0","2","6","1","36","26","2","6","33.3","2","0","100.0","36","27","57.1"
"Carolina Hurricanes","2014/04/11  @ DET","DET","1","1","0","0","0","2","2","1","19","29","1","2","50.0","2","1","50.0","27","23","54.0"
