Team,Game,Opp Team,GP,SAT For,SAT Agst,SAT,SAT Tied,SAT Ahead,SAT Behind,SAT Close,USAT For,USAT Agst,USAT,USAT Tied,USAT Ahead,USAT Behind,USAT Close
Edmonton Oilers,2013/03/01  vs. STL,STL,1,37,57,-20,-20,-1,1,-21,25,38,-13,-14,0,1,-15
Tampa Bay Lightning,2013/04/24  vs. TOR,TOR,1,50,50,0,-3,2,1,-3,35,39,-4,-6,0,2,-5
Chicago Blackhawks,2013/03/05  vs. MIN,MIN,1,51,32,19,2,9,8,12,37,27,10,3,2,5,10
Montreal Canadiens,2013/02/25  vs. OTT,OTT,1,53,35,18,19,0,-1,18,44,27,17,17,0,0,17
Pittsburgh Penguins,2013/02/20  vs. PHI,PHI,1,37,31,6,11,-6,1,12,30,23,7,10,-3,0,11
Vancouver Canucks,2013/04/27  vs. EDM,EDM,1,47,54,-7,3,-3,-7,0,41,48,-7,4,-4,-7,0
Dallas Stars,2013/03/20  vs. COL,COL,1,50,41,9,-4,14,-1,8,33,34,-1,-3,4,-2,1
Carolina Hurricanes,2013/02/12  vs. NJD,NJD,1,27,32,-5,-2,-4,1,1,19,27,-8,-4,-4,0,-2
Dallas Stars,2013/04/13  vs. SJS,SJS,1,31,62,-31,-2,-29,0,-4,21,42,-21,-1,-20,0,-1
Los Angeles Kings,2013/01/22  vs. COL,COL,1,39,37,2,11,-7,-2,9,27,31,-4,7,-8,-3,4
Tampa Bay Lightning,2013/02/12  vs. MTL,MTL,1,31,33,-2,3,0,-5,2,20,26,-6,6,0,-12,5
San Jose Sharks,2013/04/18  vs. MIN,MIN,1,52,59,-7,1,-8,0,10,40,41,-1,0,-1,0,8
St. Louis Blues,2013/02/13  vs. DET,DET,1,29,38,-9,-8,1,-2,-6,22,20,2,2,2,-2,4
Anaheim Ducks,2013/01/26  vs. NSH,NSH,1,45,31,14,1,0,13,15,31,22,9,3,0,6,10
Winnipeg Jets,2013/02/26  vs. NYR,NYR,1,39,48,-9,8,-17,0,12,29,34,-5,4,-9,0,7
Carolina Hurricanes,2013/03/28  vs. TOR,TOR,1,40,52,-12,-9,-5,2,-5,29,37,-8,-7,-3,2,-2
Montreal Canadiens,2013/02/14  vs. FLA,FLA,1,37,39,-2,-2,0,0,-2,31,30,1,1,0,0,1
New Jersey Devils,2013/03/13  vs. PHI,PHI,1,42,27,15,4,11,0,5,32,19,13,3,10,0,3
Winnipeg Jets,2013/03/16  vs. TOR,TOR,1,64,43,21,1,3,17,15,41,28,13,0,3,10,10
Carolina Hurricanes,2013/02/18  vs. MTL,MTL,1,35,37,-2,4,0,-6,4,28,26,2,6,0,-4,6
Carolina Hurricanes,2013/04/23  vs. NYI,NYI,1,52,68,-16,-6,-10,0,-6,38,56,-18,-6,-12,0,-8
Tampa Bay Lightning,2013/01/21  vs. NYI,NYI,1,32,43,-11,-9,0,-2,-14,26,36,-10,-8,0,-2,-13
New York Islanders,2013/01/31  vs. NJD,NJD,1,27,37,-10,-5,-5,0,-8,20,28,-8,-7,-1,0,-6
Minnesota Wild,2013/03/23  vs. SJS,SJS,1,31,43,-12,4,-16,0,2,20,31,-11,3,-14,0,3
Minnesota Wild,2013/02/12  vs. VAN,VAN,1,23,45,-22,-8,0,-14,-17,19,35,-16,-7,0,-9,-13
Toronto Maple Leafs,2013/03/12  vs. WPG,WPG,1,35,50,-15,1,0,-16,-8,27,33,-6,3,0,-9,0
Chicago Blackhawks,2013/03/20  vs. ANA,ANA,1,44,47,-3,-14,14,-3,-9,29,37,-8,-15,10,-3,-11
Montreal Canadiens,2013/03/19  vs. BUF,BUF,1,71,26,45,1,0,44,8,51,18,33,2,0,31,5
Dallas Stars,2013/04/07  vs. SJS,SJS,1,52,49,3,-4,0,7,-5,34,40,-6,-8,0,2,-11
New Jersey Devils,2013/04/06  vs. TOR,TOR,1,41,27,14,2,0,12,9,31,21,10,1,0,9,5
Ottawa Senators,2013/03/30  vs. TOR,TOR,1,44,32,12,-3,0,15,3,32,20,12,-2,0,14,4
New York Islanders,2013/04/11  vs. BOS,BOS,1,50,49,1,-4,5,0,3,43,34,9,-1,10,0,9
Montreal Canadiens,2013/02/07  vs. BUF,BUF,1,37,38,-1,-1,0,0,1,30,31,-1,-1,0,0,1
Florida Panthers,2013/01/21  vs. OTT,OTT,1,43,40,3,-3,0,6,-8,30,29,1,-3,0,4,-3
Carolina Hurricanes,2013/03/05  vs. BUF,BUF,1,54,55,-1,2,-3,0,25,35,44,-9,1,-10,0,15
Philadelphia Flyers,2013/02/11  vs. TOR,TOR,1,55,43,12,-2,-3,17,-6,42,30,12,-2,2,12,-1
Phoenix Coyotes,2013/03/21  vs. VAN,VAN,1,47,32,15,-2,0,17,11,32,28,4,-4,0,8,1
New Jersey Devils,2013/03/25  vs. OTT,OTT,1,58,26,32,12,0,20,29,44,18,26,9,0,17,23
New York Islanders,2013/03/03  vs. OTT,OTT,1,56,42,14,5,9,0,11,38,31,7,0,7,0,5
Phoenix Coyotes,2013/02/07  vs. CHI,CHI,1,40,42,-2,-4,0,2,-6,27,32,-5,-6,0,1,-6
Columbus Blue Jackets,2013/04/25  vs. DAL,DAL,1,38,64,-26,-5,-21,0,-15,33,41,-8,0,-8,0,-1
Philadelphia Flyers,2013/02/20  vs. PIT,PIT,1,31,37,-6,-11,-1,6,-12,23,30,-7,-10,0,3,-11
Florida Panthers,2013/02/16  vs. TBL,TBL,1,41,49,-8,3,-8,-3,-5,38,44,-6,3,-8,-1,-3
Edmonton Oilers,2013/02/21  vs. MIN,MIN,1,48,51,-3,0,1,-4,1,36,33,3,1,1,1,2
Carolina Hurricanes,2013/03/12  vs. WSH,WSH,1,53,43,10,4,6,0,11,34,33,1,1,0,0,3
Vancouver Canucks,2013/01/20  vs. EDM,EDM,1,40,39,1,0,1,0,-2,28,31,-3,-1,-2,0,-7
Florida Panthers,2013/02/03  vs. BUF,BUF,1,45,39,6,5,-1,2,9,34,28,6,5,-1,2,11
Colorado Avalanche,2013/03/16  vs. MIN,MIN,1,40,45,-5,2,0,-7,-2,33,32,1,2,0,-1,1
Colorado Avalanche,2013/03/12  vs. EDM,EDM,1,49,41,8,2,0,6,3,40,39,1,0,0,1,0
Anaheim Ducks,2013/04/03  vs. DAL,DAL,1,36,49,-13,6,-19,0,-7,30,34,-4,8,-12,0,-1
Philadelphia Flyers,2013/04/09  vs. NYI,NYI,1,48,56,-8,0,-3,-5,-8,36,40,-4,4,-1,-7,-1
Columbus Blue Jackets,2013/01/26  vs. CHI,CHI,1,27,27,0,-6,4,2,2,17,19,-2,-2,3,-3,2
Montreal Canadiens,2013/02/23  vs. NYR,NYR,1,46,50,-4,-8,4,0,-5,29,34,-5,-4,-1,0,-3
Carolina Hurricanes,2013/02/07  vs. OTT,OTT,1,36,63,-27,-17,0,-10,-31,26,45,-19,-9,0,-10,-21
Tampa Bay Lightning,2013/03/05  vs. NJD,NJD,1,25,39,-14,-7,-7,0,-13,20,31,-11,-7,-4,0,-12
Boston Bruins,2013/02/21  vs. TBL,TBL,1,41,44,-3,2,-5,0,-1,31,32,-1,-2,1,0,0
New York Islanders,2013/01/25  vs. BOS,BOS,1,29,50,-21,-10,2,-13,-16,20,33,-13,-4,2,-11,-10
Anaheim Ducks,2013/02/09  vs. STL,STL,1,39,51,-12,-18,-2,8,-22,25,34,-9,-12,-1,4,-14
Edmonton Oilers,2013/01/31  vs. SJS,SJS,1,36,46,-10,-6,0,-4,-10,26,32,-6,-2,0,-4,-5
Winnipeg Jets,2013/02/17  vs. BOS,BOS,1,62,59,3,2,-3,4,-1,43,41,2,-2,-4,8,-6
Detroit Red Wings,2013/03/10  vs. CBJ,CBJ,1,26,34,-8,-7,0,-1,-8,21,23,-2,-4,0,2,-2
San Jose Sharks,2013/03/23  vs. MIN,MIN,1,43,31,12,-4,0,16,-2,31,20,11,-3,0,14,-3
Washington Capitals,2013/04/25  vs. OTT,OTT,1,31,45,-14,-3,0,-11,-6,23,36,-13,-2,0,-11,-6
Anaheim Ducks,2013/02/27  vs. NSH,NSH,1,41,35,6,3,3,0,3,31,24,7,2,5,0,3
Washington Capitals,2013/02/23  vs. NJD,NJD,1,32,35,-3,1,-4,0,-3,25,25,0,4,-4,0,2
Dallas Stars,2013/03/14  vs. ANA,ANA,1,53,44,9,2,7,0,9,38,27,11,7,4,0,11
Calgary Flames,2013/04/01  vs. EDM,EDM,1,59,44,15,4,0,11,14,48,29,19,3,0,16,10
Carolina Hurricanes,2013/04/02  vs. WSH,WSH,1,48,29,19,3,1,15,12,35,20,15,5,1,9,14
Boston Bruins,2013/03/21  vs. OTT,OTT,1,52,54,-2,-5,1,2,-3,39,37,2,2,1,-1,1
Philadelphia Flyers,2013/04/27  vs. OTT,OTT,1,41,56,-15,-4,-11,0,-12,32,44,-12,-4,-8,0,-10
Florida Panthers,2013/04/16  vs. NYI,NYI,1,51,41,10,-9,0,19,-12,33,35,-2,-6,0,4,-9
Colorado Avalanche,2013/04/13  vs. VAN,VAN,1,44,43,1,0,-6,7,-2,34,30,4,0,-1,5,0
Colorado Avalanche,2013/02/14  vs. MIN,MIN,1,45,46,-1,-6,4,1,-2,38,30,8,2,6,0,8
Montreal Canadiens,2013/02/03  vs. OTT,OTT,1,43,57,-14,4,-18,0,6,34,36,-2,1,-3,0,4
Pittsburgh Penguins,2013/02/09  vs. NJD,NJD,1,16,27,-11,0,-11,0,-11,15,21,-6,1,-7,0,-6
Boston Bruins,2013/03/30  vs. PHI,PHI,1,60,35,25,6,0,19,7,45,23,22,7,0,15,8
Los Angeles Kings,2013/01/28  vs. VAN,VAN,1,47,25,22,3,0,19,6,32,20,12,0,0,12,1
Edmonton Oilers,2013/03/25  vs. NSH,NSH,1,34,38,-4,-6,-1,3,-4,25,26,-1,-1,-1,1,-2
New Jersey Devils,2013/02/02  vs. PIT,PIT,1,33,49,-16,-2,0,-14,-8,20,37,-17,-4,0,-13,-10
Dallas Stars,2013/02/01  vs. PHX,PHX,1,37,43,-6,-3,-3,0,-7,25,32,-7,-5,-2,0,-9
Winnipeg Jets,2013/02/12  vs. PHI,PHI,1,43,34,9,5,0,4,5,34,22,12,4,0,8,8
Los Angeles Kings,2013/03/09  vs. CGY,CGY,1,51,36,15,4,11,0,9,37,28,9,3,6,0,5
Edmonton Oilers,2013/02/04  vs. VAN,VAN,1,39,50,-11,-1,-10,0,-9,24,32,-8,0,-8,0,-4
Columbus Blue Jackets,2013/02/24  vs. CHI,CHI,1,23,41,-18,-8,0,-10,-12,16,32,-16,-5,0,-11,-9
Chicago Blackhawks,2013/04/04  vs. STL,STL,1,45,33,12,0,4,8,13,39,24,15,5,5,5,17
New Jersey Devils,2013/01/22  vs. PHI,PHI,1,24,33,-9,0,-9,0,-8,19,22,-3,0,-3,0,-6
Pittsburgh Penguins,2013/04/09  vs. CAR,CAR,1,60,52,8,2,9,-3,5,46,36,10,3,10,-3,5
Calgary Flames,2013/02/07  vs. CBJ,CBJ,1,45,26,19,10,1,8,19,32,21,11,3,1,7,11
St. Louis Blues,2013/04/09  vs. NSH,NSH,1,51,29,22,18,4,0,21,35,20,15,15,0,0,17
Washington Capitals,2013/04/13  vs. TBL,TBL,1,39,54,-15,-3,-12,0,5,32,37,-5,0,-5,0,8
Winnipeg Jets,2013/04/23  vs. WSH,WSH,1,38,67,-29,-4,0,-25,-24,23,51,-28,-3,0,-25,-21
Vancouver Canucks,2013/03/19  vs. STL,STL,1,39,49,-10,0,-10,0,2,28,36,-8,-4,-4,0,-2
San Jose Sharks,2013/02/09  vs. PHX,PHX,1,53,38,15,15,0,0,15,37,29,8,8,0,0,8
Chicago Blackhawks,2013/04/19  vs. NSH,NSH,1,50,31,19,17,1,1,16,38,26,12,9,1,2,10
Detroit Red Wings,2013/02/17  vs. MIN,MIN,1,47,38,9,-1,7,3,8,37,32,5,-1,4,2,4
Los Angeles Kings,2013/03/19  vs. PHX,PHX,1,34,58,-24,-6,-18,0,-4,30,45,-15,-6,-9,0,-2
St. Louis Blues,2013/04/16  vs. VAN,VAN,1,54,33,21,16,0,5,16,41,24,17,14,0,3,14
Philadelphia Flyers,2013/03/02  vs. OTT,OTT,1,46,44,2,11,-9,0,12,30,34,-4,4,-8,0,6
Philadelphia Flyers,2013/04/11  vs. OTT,OTT,1,33,56,-23,-14,0,-9,-24,18,42,-24,-16,0,-8,-24
Phoenix Coyotes,2013/03/19  vs. LAK,LAK,1,58,34,24,6,0,18,4,45,30,15,6,0,9,2
New York Islanders,2013/04/20  vs. WPG,WPG,1,52,44,8,5,3,0,14,37,32,5,2,3,0,9
Phoenix Coyotes,2013/02/16  vs. CBJ,CBJ,1,32,41,-9,2,-11,0,-4,24,23,1,5,-3,-1,1
Ottawa Senators,2013/02/21  vs. NYR,NYR,1,47,46,1,-1,-1,3,8,35,34,1,-2,0,3,3
Colorado Avalanche,2013/04/05  vs. DET,DET,1,54,45,9,2,0,7,3,33,29,4,4,0,0,0
Buffalo Sabres,2013/01/31  vs. BOS,BOS,1,41,61,-20,-17,-1,-2,-18,35,41,-6,-5,-1,0,-6
Colorado Avalanche,2013/03/05  vs. DET,DET,1,49,44,5,10,0,-5,9,38,36,2,3,0,-1,1
Edmonton Oilers,2013/02/19  vs. LAK,LAK,1,34,62,-28,-21,0,-7,-27,27,47,-20,-15,0,-5,-19
Tampa Bay Lightning,2013/02/21  vs. BOS,BOS,1,44,41,3,-2,0,5,1,32,31,1,2,0,-1,0
Edmonton Oilers,2013/03/07  vs. DET,DET,1,39,57,-18,-3,0,-15,-10,26,39,-13,-4,0,-9,-8
Columbus Blue Jackets,2013/03/03  vs. COL,COL,1,40,30,10,12,0,-2,12,28,22,6,8,0,-2,8
Detroit Red Wings,2013/02/13  vs. STL,STL,1,38,29,9,8,2,-1,6,20,22,-2,-2,2,-2,-4
Washington Capitals,2013/04/23  vs. WPG,WPG,1,67,38,29,4,25,0,24,51,23,28,3,25,0,21
Anaheim Ducks,2013/04/21  vs. EDM,EDM,1,43,37,6,7,0,-1,9,34,28,6,9,0,-3,9
New Jersey Devils,2013/01/25  vs. WSH,WSH,1,29,27,2,-6,8,0,6,20,26,-6,-7,1,0,-2
New Jersey Devils,2013/02/24  vs. WPG,WPG,1,39,39,0,1,1,-2,-1,30,31,-1,0,0,-1,0
Los Angeles Kings,2013/04/09  vs. DAL,DAL,1,48,44,4,1,-1,4,0,36,33,3,2,0,1,2
Minnesota Wild,2013/02/14  vs. COL,COL,1,46,45,1,6,-1,-4,2,30,38,-8,-2,0,-6,-8
Los Angeles Kings,2013/03/21  vs. DAL,DAL,1,49,37,12,13,0,-1,13,43,27,16,17,0,-1,17
St. Louis Blues,2013/04/11  vs. MIN,MIN,1,33,37,-4,-4,0,0,2,21,25,-4,-4,0,0,-2
Columbus Blue Jackets,2013/02/10  vs. EDM,EDM,1,35,18,17,9,0,8,13,25,14,11,4,0,7,6
Buffalo Sabres,2013/02/09  vs. NYI,NYI,1,34,68,-34,-16,-18,0,-34,20,50,-30,-18,-12,0,-28
Winnipeg Jets,2013/01/29  vs. MTL,MTL,1,24,33,-9,-12,-1,4,-11,12,27,-15,-11,-1,-3,-16
Pittsburgh Penguins,2013/02/10  vs. NJD,NJD,1,40,44,-4,11,0,-15,1,29,29,0,9,0,-9,2
Columbus Blue Jackets,2013/03/26  vs. VAN,VAN,1,32,59,-27,-27,0,0,-27,17,36,-19,-19,0,0,-19
Winnipeg Jets,2013/04/20  vs. NYI,NYI,1,44,52,-8,-5,0,-3,-14,32,37,-5,-2,0,-3,-9
Buffalo Sabres,2013/02/12  vs. OTT,OTT,1,41,35,6,10,0,-4,8,35,26,9,12,0,-3,11
Dallas Stars,2013/01/28  vs. CBJ,CBJ,1,33,28,5,4,-4,5,0,26,20,6,6,-4,4,2
Toronto Maple Leafs,2013/04/13  vs. MTL,MTL,1,35,61,-26,-2,-24,0,-9,27,47,-20,0,-20,0,-8
Carolina Hurricanes,2013/01/25  vs. BUF,BUF,1,44,40,4,7,-2,-1,7,41,33,8,9,0,-1,9
New York Islanders,2013/04/26  vs. BUF,BUF,1,34,47,-13,-3,0,-10,-5,29,32,-3,1,0,-4,2
Pittsburgh Penguins,2013/04/02  vs. BUF,BUF,1,34,35,-1,0,0,-1,-2,19,23,-4,1,0,-5,-3
Columbus Blue Jackets,2013/02/02  vs. DET,DET,1,26,43,-17,-4,-10,-3,-14,22,34,-12,-4,-5,-3,-13
Los Angeles Kings,2013/01/26  vs. PHX,PHX,1,44,38,6,2,4,0,9,37,31,6,-1,7,0,6
Anaheim Ducks,2013/02/08  vs. DAL,DAL,1,33,38,-5,-12,0,7,-12,25,26,-1,-9,0,8,-5
Vancouver Canucks,2013/04/06  vs. CGY,CGY,1,33,52,-19,0,-19,0,-8,24,40,-16,0,-16,0,-8
Columbus Blue Jackets,2013/03/05  vs. EDM,EDM,1,45,41,4,3,2,-1,4,35,30,5,3,3,-1,5
Philadelphia Flyers,2013/03/07  vs. PIT,PIT,1,38,41,-3,3,-10,4,0,28,26,2,4,-3,1,5
Tampa Bay Lightning,2013/01/29  vs. FLA,FLA,1,32,37,-5,-4,-1,0,-1,29,27,2,-3,5,0,0
Pittsburgh Penguins,2013/04/22  vs. OTT,OTT,1,14,38,-24,-5,-19,0,-9,12,27,-15,-4,-11,0,-6
Florida Panthers,2013/02/07  vs. PHI,PHI,1,37,38,-1,-4,1,2,-6,27,23,4,-3,1,6,1
Toronto Maple Leafs,2013/02/27  vs. MTL,MTL,1,50,60,-10,-14,2,2,-12,35,43,-8,-11,2,1,-8
Tampa Bay Lightning,2013/02/05  vs. PHI,PHI,1,42,49,-7,-2,0,-5,-12,29,31,-2,1,0,-3,-4
Anaheim Ducks,2013/01/19  vs. VAN,VAN,1,35,49,-14,1,-12,-3,-2,29,35,-6,1,-5,-2,-3
St. Louis Blues,2013/03/12  vs. SJS,SJS,1,28,65,-37,-2,-35,0,-29,21,47,-26,-6,-20,0,-20
Detroit Red Wings,2013/01/22  vs. DAL,DAL,1,44,37,7,3,0,4,0,36,27,9,2,0,7,1
Edmonton Oilers,2013/03/20  vs. SJS,SJS,1,37,54,-17,-20,3,0,-19,28,41,-13,-16,3,0,-14
Columbus Blue Jackets,2013/02/21  vs. DET,DET,1,39,32,7,-4,1,10,10,27,24,3,-2,1,4,5
Anaheim Ducks,2013/03/20  vs. CHI,CHI,1,47,44,3,14,3,-14,9,37,29,8,15,3,-10,11
Toronto Maple Leafs,2013/02/07  vs. WPG,WPG,1,33,39,-6,-10,0,4,-13,17,32,-15,-12,-1,-2,-14
Carolina Hurricanes,2013/02/04  vs. TOR,TOR,1,46,55,-9,0,-13,4,-1,38,43,-5,-1,-6,2,0
Pittsburgh Penguins,2013/01/20  vs. NYR,NYR,1,50,45,5,-5,10,0,-2,40,35,5,-4,9,0,1
New York Rangers,2013/03/26  vs. PHI,PHI,1,57,55,2,6,-4,0,9,40,36,4,2,2,0,7
Nashville Predators,2013/02/12  vs. SJS,SJS,1,34,37,-3,-3,0,0,-3,24,25,-1,-1,0,0,-1
Florida Panthers,2013/01/31  vs. WPG,WPG,1,40,39,1,10,-6,-3,9,28,36,-8,1,-6,-3,-2
Montreal Canadiens,2013/02/12  vs. TBL,TBL,1,33,31,2,-3,5,0,-2,26,20,6,-6,12,0,-5
Buffalo Sabres,2013/02/05  vs. OTT,OTT,1,33,51,-18,-7,0,-11,-10,24,32,-8,-3,0,-5,-4
Carolina Hurricanes,2013/01/19  vs. FLA,FLA,1,59,23,36,4,0,32,6,49,16,33,3,0,30,5
Boston Bruins,2013/03/17  vs. PIT,PIT,1,56,39,17,-1,0,18,2,42,30,12,1,0,11,0
Colorado Avalanche,2013/03/27  vs. CGY,CGY,1,42,37,5,1,0,4,-7,31,27,4,1,0,3,0
Vancouver Canucks,2013/02/22  vs. NSH,NSH,1,53,33,20,24,-4,0,24,39,22,17,18,-1,0,18
Dallas Stars,2013/04/15  vs. CHI,CHI,1,27,43,-16,-11,0,-5,-16,18,30,-12,-5,0,-7,-13
Buffalo Sabres,2013/03/02  vs. NJD,NJD,1,29,39,-10,-10,1,-1,-10,21,27,-6,-6,0,0,-6
Vancouver Canucks,2013/01/27  vs. SJS,SJS,1,36,18,18,0,0,18,3,25,12,13,0,0,13,3
Washington Capitals,2013/02/17  vs. NYR,NYR,1,32,52,-20,1,-20,-1,-19,25,39,-14,4,-18,0,-14
Winnipeg Jets,2013/02/28  vs. NJD,NJD,1,34,47,-13,-10,-3,0,-9,23,30,-7,-5,-2,0,-3
Washington Capitals,2013/02/01  vs. PHI,PHI,1,34,51,-17,-4,-6,-7,-11,25,33,-8,-4,0,-4,-8
Columbus Blue Jackets,2013/03/01  vs. CHI,CHI,1,45,58,-13,-12,4,-5,-10,31,43,-12,-7,1,-6,-8
Nashville Predators,2013/01/24  vs. STL,STL,1,25,27,-2,-4,0,2,-8,16,19,-3,-4,0,1,-7
Tampa Bay Lightning,2013/04/25  vs. BOS,BOS,1,41,40,1,2,0,-1,-1,29,29,0,2,0,-2,-2
New York Rangers,2013/04/08  vs. TOR,TOR,1,62,49,13,0,0,13,9,46,33,13,1,0,12,9
Minnesota Wild,2013/04/11  vs. STL,STL,1,37,33,4,4,0,0,-2,25,21,4,4,0,0,2
Florida Panthers,2013/03/21  vs. NYR,NYR,1,35,68,-33,-2,-31,0,-6,29,47,-18,1,-19,0,-3
Edmonton Oilers,2013/02/23  vs. PHX,PHX,1,50,45,5,1,0,4,6,38,38,0,1,0,-1,1
Montreal Canadiens,2013/01/24  vs. WSH,WSH,1,24,47,-23,-8,-15,0,-9,18,34,-16,-6,-10,0,-7
Detroit Red Wings,2013/02/01  vs. STL,STL,1,33,30,3,2,2,-1,3,23,21,2,3,2,-3,2
Pittsburgh Penguins,2013/04/11  vs. TBL,TBL,1,38,36,2,-5,7,0,3,30,26,4,-4,8,0,3
Washington Capitals,2013/03/19  vs. PIT,PIT,1,48,45,3,1,1,1,2,30,35,-5,-2,1,-4,-1
Chicago Blackhawks,2013/04/22  vs. VAN,VAN,1,37,40,-3,-9,0,6,-4,26,29,-3,-5,0,2,-4
Florida Panthers,2013/01/24  vs. OTT,OTT,1,35,51,-16,-14,0,-2,-8,24,33,-9,-8,0,-1,-4
Ottawa Senators,2013/04/02  vs. BOS,BOS,1,61,62,-1,-2,0,1,-3,45,55,-10,-4,0,-6,-11
Dallas Stars,2013/04/23  vs. SJS,SJS,1,54,66,-12,-1,-14,3,-10,34,43,-9,0,-8,-1,-9
Montreal Canadiens,2013/04/25  vs. WPG,WPG,1,57,42,15,0,2,13,14,40,32,8,0,0,8,9
Ottawa Senators,2013/03/13  vs. MTL,MTL,1,41,59,-18,-21,0,3,-16,23,41,-18,-20,0,2,-16
Toronto Maple Leafs,2013/02/05  vs. WSH,WSH,1,35,56,-21,-2,-19,0,-13,27,36,-9,-2,-7,0,-7
New Jersey Devils,2013/02/10  vs. PIT,PIT,1,44,40,4,-11,15,0,-1,29,29,0,-9,9,0,-2
Los Angeles Kings,2013/03/05  vs. STL,STL,1,38,21,17,11,5,1,8,28,16,12,4,5,3,2
Winnipeg Jets,2013/03/12  vs. TOR,TOR,1,50,35,15,-1,16,0,8,33,27,6,-3,9,0,0
Edmonton Oilers,2013/03/03  vs. MIN,MIN,1,38,49,-11,-13,0,2,-12,26,43,-17,-15,0,-2,-17
St. Louis Blues,2013/03/03  vs. DAL,DAL,1,52,51,1,1,3,-3,-5,36,39,-3,0,4,-7,0
New York Rangers,2013/01/20  vs. PIT,PIT,1,45,50,-5,5,0,-10,2,35,40,-5,4,0,-9,-1
Calgary Flames,2013/04/26  vs. CHI,CHI,1,35,68,-33,-3,0,-30,-6,27,48,-21,-2,0,-19,-3
Nashville Predators,2013/01/21  vs. STL,STL,1,26,44,-18,-10,-8,0,-10,21,36,-15,-9,-6,0,-10
Dallas Stars,2013/03/23  vs. COL,COL,1,40,61,-21,0,-21,0,-2,28,41,-13,0,-13,0,-2
Detroit Red Wings,2013/01/27  vs. CHI,CHI,1,44,33,11,1,0,10,6,29,20,9,4,0,5,9
Phoenix Coyotes,2013/03/28  vs. NSH,NSH,1,40,47,-7,0,-7,0,3,34,42,-8,-1,-7,0,2
Vancouver Canucks,2013/01/30  vs. COL,COL,1,48,32,16,-5,21,0,10,29,26,3,-6,9,0,5
Columbus Blue Jackets,2013/03/31  vs. ANA,ANA,1,26,50,-24,-21,-3,0,-22,20,37,-17,-16,-1,0,-15
St. Louis Blues,2013/03/01  vs. EDM,EDM,1,57,37,20,20,-1,1,21,38,25,13,14,-1,0,15
Columbus Blue Jackets,2013/02/15  vs. LAK,LAK,1,19,31,-12,-10,0,-2,-10,14,26,-12,-11,0,-1,-11
Montreal Canadiens,2013/04/15  vs. PHI,PHI,1,34,24,10,1,0,9,-1,27,21,6,-1,0,7,-3
Anaheim Ducks,2013/04/10  vs. COL,COL,1,36,44,-8,-1,0,-7,-3,23,30,-7,0,0,-7,0
Edmonton Oilers,2013/03/26  vs. STL,STL,1,33,54,-21,-5,-16,0,-11,24,46,-22,-4,-18,0,-8
Philadelphia Flyers,2013/02/25  vs. TOR,TOR,1,40,39,1,4,0,-3,3,32,27,5,7,0,-2,5
New York Islanders,2013/01/21  vs. TBL,TBL,1,43,32,11,9,2,0,14,36,26,10,8,2,0,13
Detroit Red Wings,2013/04/20  vs. VAN,VAN,1,41,22,19,15,0,4,19,32,13,19,17,0,2,19
New York Rangers,2013/03/08  vs. OTT,OTT,1,51,71,-20,-7,0,-13,-12,42,51,-9,0,0,-9,-2
Dallas Stars,2013/03/09  vs. PHX,PHX,1,43,42,1,-5,0,6,1,23,32,-9,-6,0,-3,-7
Detroit Red Wings,2013/01/29  vs. DAL,DAL,1,32,32,0,-5,3,2,-3,27,25,2,0,1,1,1
Anaheim Ducks,2013/02/15  vs. DET,DET,1,45,47,-2,-2,0,0,-2,34,38,-4,-4,1,-1,-5
New Jersey Devils,2013/04/07  vs. BUF,BUF,1,44,29,15,0,0,15,12,29,19,10,-1,0,11,8
Minnesota Wild,2013/04/04  vs. LAK,LAK,1,38,32,6,-1,0,7,-2,29,24,5,0,0,5,-1
Colorado Avalanche,2013/04/11  vs. LAK,LAK,1,40,44,-4,-7,0,3,-8,33,35,-2,-8,0,6,-9
Calgary Flames,2013/03/11  vs. LAK,LAK,1,40,37,3,5,0,-2,3,29,30,-1,6,0,-7,4
New York Rangers,2013/03/28  vs. OTT,OTT,1,44,45,-1,-9,0,8,-8,28,29,-1,-7,0,6,-5
St. Louis Blues,2013/02/07  vs. DET,DET,1,45,41,4,0,0,4,-6,34,34,0,-2,0,2,-6
Phoenix Coyotes,2013/02/01  vs. DAL,DAL,1,43,37,6,3,0,3,7,32,25,7,5,0,2,9
St. Louis Blues,2013/03/16  vs. ANA,ANA,1,38,42,-4,-8,0,4,-4,28,26,2,-2,0,4,2
Calgary Flames,2013/03/03  vs. VAN,VAN,1,47,46,1,1,2,-2,-1,35,33,2,5,0,-3,2
Ottawa Senators,2013/02/12  vs. BUF,BUF,1,35,41,-6,-10,4,0,-8,26,35,-9,-12,3,0,-11
Nashville Predators,2013/04/15  vs. VAN,VAN,1,54,30,24,2,0,22,15,44,25,19,0,0,19,13
New York Rangers,2013/02/10  vs. TBL,TBL,1,54,31,23,0,23,0,6,42,25,17,0,17,0,4
Carolina Hurricanes,2013/03/30  vs. WPG,WPG,1,38,43,-5,2,-7,0,-7,29,31,-2,1,-3,0,-5
San Jose Sharks,2013/02/22  vs. CHI,CHI,1,38,46,-8,-5,0,-3,-5,25,34,-9,-2,0,-7,-2
Winnipeg Jets,2013/03/02  vs. WSH,WSH,1,43,41,2,1,0,1,1,31,33,-2,2,0,-4,0
