Team,Game,Opp Team,GP,W,L,T,OT,P,GF,GA,SF,SA,PPG,PP Opp,PP%,TS,PPGA,PK%,FOW,FOL,FOW%
Toronto Maple Leafs,2013/03/07  @ BOS,BOS,1,0,1,0,0,0,2,4,27,25,0,3,0,3,0,100,23,37,38.3
Phoenix Coyotes,2013/02/24  @ CGY,CGY,1,0,1,0,0,0,4,5,27,31,1,5,20,3,0,100,40,30,57.1
Nashville Predators,2013/03/21  vs. CGY,CGY,1,1,0,0,0,2,5,3,23,22,1,4,25,3,1,66.7,32,27,54.2
Florida Panthers,2013/02/18  vs. TOR,TOR,1,0,1,0,0,0,0,3,37,33,0,3,0,2,1,50,30,23,56.6
Ottawa Senators,2013/02/21  vs. NYR,NYR,1,1,0,0,0,2,2,2,37,34,1,2,50,4,1,75,29,24,54.7
Calgary Flames,2013/04/06  @ VAN,VAN,1,0,1,0,0,0,2,5,38,22,0,5,0,2,1,50,35,24,59.3
Washington Capitals,2013/02/12  @ FLA,FLA,1,1,0,0,0,2,6,5,29,32,2,3,66.7,5,0,100,44,24,64.7
Calgary Flames,2013/03/26  @ CHI,CHI,1,0,1,0,0,0,0,2,16,35,0,4,0,5,0,100,32,31,50.8
Montreal Canadiens,2013/02/12  @ TBL,TBL,1,1,0,0,0,2,3,3,34,24,1,7,14.3,5,1,80,33,39,45.8
Vancouver Canucks,2013/02/15  vs. DAL,DAL,1,0,1,0,0,0,3,4,28,29,0,3,0,4,0,100,29,26,52.7
Philadelphia Flyers,2013/01/19  vs. PIT,PIT,1,0,1,0,0,0,1,3,27,27,0,5,0,3,2,33.3,27,35,43.5
Phoenix Coyotes,2013/01/26  vs. LAK,LAK,1,0,1,0,0,0,2,4,33,31,1,6,16.7,4,0,100,27,36,42.9
Nashville Predators,2013/03/19  @ CBJ,CBJ,1,0,1,0,0,0,3,4,35,31,0,1,0,3,1,66.7,23,36,39
Washington Capitals,2013/01/27  vs. BUF,BUF,1,1,0,0,0,2,3,2,30,24,1,3,33.3,2,0,100,33,20,62.3
Nashville Predators,2013/04/27  @ CBJ,CBJ,1,0,1,0,0,0,1,3,20,47,0,0,0,2,1,50,17,41,29.3
Detroit Red Wings,2013/03/15  @ EDM,EDM,1,1,0,0,0,2,3,2,28,32,1,5,20,3,0,100,34,23,59.6
Pittsburgh Penguins,2013/02/03  @ WSH,WSH,1,1,0,0,0,2,6,3,26,24,2,3,66.7,4,1,75,34,37,47.9
Minnesota Wild,2013/04/26  vs. EDM,EDM,1,0,1,0,0,0,1,6,39,17,0,2,0,2,0,100,33,23,58.9
Edmonton Oilers,2013/02/28  @ DAL,DAL,1,1,0,0,0,2,5,1,38,34,1,9,11.1,5,0,100,39,32,54.9
San Jose Sharks,2013/03/09  vs. STL,STL,1,0,0,0,1,1,3,4,25,35,1,2,50,4,1,75,34,33,50.7
Washington Capitals,2013/04/18  @ OTT,OTT,1,0,1,0,0,0,1,3,19,38,0,3,0,3,0,100,20,31,39.2
New York Islanders,2013/04/25  @ PHI,PHI,1,0,1,0,0,0,1,2,22,30,0,1,0,3,1,66.7,26,29,47.3
Detroit Red Wings,2013/04/04  @ PHX,PHX,1,0,1,0,0,0,2,4,36,38,2,6,33.3,4,0,100,29,35,45.3
Edmonton Oilers,2013/02/10  @ CBJ,CBJ,1,1,0,0,0,2,3,1,14,40,0,4,0,7,0,100,26,26,50
Buffalo Sabres,2013/02/10  vs. BOS,BOS,1,0,1,0,0,0,1,3,26,39,0,3,0,5,1,80,33,30,52.4
Pittsburgh Penguins,2013/01/23  vs. TOR,TOR,1,0,1,0,0,0,2,5,30,24,1,5,20,8,1,87.5,35,34,50.7
Florida Panthers,2013/03/10  vs. MTL,MTL,1,0,1,0,0,0,2,5,16,38,0,1,0,6,2,66.7,21,30,41.2
Detroit Red Wings,2013/02/23  vs. NSH,NSH,1,1,0,0,0,2,4,0,27,33,1,2,50,2,0,100,24,24,50
New York Rangers,2013/03/28  @ OTT,OTT,1,0,1,0,0,0,0,3,24,29,0,4,0,2,1,50,24,34,41.4
New York Islanders,2013/02/11  vs. CAR,CAR,1,0,1,0,0,0,4,6,28,31,4,5,80,3,0,100,34,31,52.3
Philadelphia Flyers,2013/04/16  vs. NYR,NYR,1,1,0,0,0,2,4,2,22,40,1,2,50,5,0,100,39,30,56.5
San Jose Sharks,2013/01/26  vs. COL,COL,1,1,0,0,0,2,4,0,43,24,3,6,50,2,0,100,32,28,53.3
Pittsburgh Penguins,2013/04/03  @ NYR,NYR,1,0,1,0,0,0,1,6,27,39,0,2,0,4,3,25,28,36,43.8
Pittsburgh Penguins,2013/03/22  @ NYI,NYI,1,1,0,0,0,2,4,2,25,35,0,2,0,2,0,100,30,23,56.6
Ottawa Senators,2013/02/23  vs. TOR,TOR,1,1,0,0,0,2,3,2,35,28,0,1,0,2,1,50,27,29,48.2
Florida Panthers,2013/02/22  @ PIT,PIT,1,0,1,0,0,0,1,3,23,40,0,2,0,4,1,75,26,26,50
Boston Bruins,2013/01/25  vs. NYI,NYI,1,1,0,0,0,2,4,2,27,26,0,3,0,3,0,100,36,23,61
Ottawa Senators,2013/02/13  @ PIT,PIT,1,0,1,0,0,0,2,4,29,30,0,4,0,5,1,80,29,31,48.3
Philadelphia Flyers,2013/02/05  vs. TBL,TBL,1,1,0,0,0,2,2,1,24,22,0,2,0,4,0,100,26,31,45.6
Tampa Bay Lightning,2013/02/01  vs. WPG,WPG,1,1,0,0,0,2,8,3,25,29,3,5,60,4,2,50,41,32,56.2
Carolina Hurricanes,2013/04/23  vs. NYI,NYI,1,1,0,0,0,2,3,3,32,39,0,0,0,2,0,100,19,35,35.2
Nashville Predators,2013/02/22  vs. VAN,VAN,1,0,1,0,0,0,0,1,23,24,0,2,0,2,0,100,30,28,51.7
New Jersey Devils,2013/01/29  @ BOS,BOS,1,0,0,0,1,1,1,1,26,28,1,5,20,3,0,100,23,37,38.3
Dallas Stars,2013/03/16  vs. CHI,CHI,1,0,1,0,0,0,1,8,19,34,1,2,50,6,2,66.7,27,30,47.4
Florida Panthers,2013/01/22  @ MTL,MTL,1,0,1,0,0,0,1,4,28,33,1,8,12.5,6,2,66.7,30,22,57.7
Dallas Stars,2013/04/13  vs. SJS,SJS,1,1,0,0,0,2,2,1,19,32,1,5,20,2,1,50,23,31,42.6
Ottawa Senators,2013/03/28  vs. NYR,NYR,1,1,0,0,0,2,3,0,29,24,1,2,50,4,0,100,34,24,58.6
New York Rangers,2013/03/18  vs. CAR,CAR,1,1,0,0,0,2,1,1,36,30,0,3,0,3,0,100,18,29,38.3
Los Angeles Kings,2013/04/23  @ MIN,MIN,1,0,1,0,0,0,1,2,23,25,0,1,0,1,0,100,24,23,51.1
Calgary Flames,2013/04/13  @ EDM,EDM,1,1,0,0,0,2,4,1,38,29,1,5,20,3,0,100,18,28,39.1
Washington Capitals,2013/04/20  @ MTL,MTL,1,1,0,0,0,2,5,1,25,36,2,3,66.7,5,0,100,32,39,45.1
Minnesota Wild,2013/01/25  @ DET,DET,1,0,1,0,0,0,3,5,26,27,1,8,12.5,5,2,60,33,35,48.5
Los Angeles Kings,2013/02/17  @ CHI,CHI,1,0,1,0,0,0,2,3,27,37,2,4,50,5,1,80,26,28,48.1
Florida Panthers,2013/03/02  @ CAR,CAR,1,0,1,0,0,0,2,6,24,34,0,0,0,4,0,100,32,25,56.1
Minnesota Wild,2013/02/07  vs. VAN,VAN,1,0,1,0,0,0,1,4,23,22,1,4,25,6,1,83.3,27,35,43.5
Carolina Hurricanes,2013/04/18  @ WPG,WPG,1,0,0,0,1,1,3,4,27,31,0,1,0,6,1,83.3,28,38,42.4
Colorado Avalanche,2013/02/24  @ ANA,ANA,1,0,0,0,1,1,3,4,23,39,1,5,20,5,3,40,22,30,42.3
Calgary Flames,2013/02/02  vs. CHI,CHI,1,0,0,0,1,1,2,2,47,19,1,5,20,1,0,100,37,27,57.8
Detroit Red Wings,2013/03/31  vs. CHI,CHI,1,0,1,0,0,0,1,7,34,26,0,2,0,0,0,0,34,26,56.7
Carolina Hurricanes,2013/02/07  @ OTT,OTT,1,1,0,0,0,2,3,2,26,47,1,2,50,3,0,100,32,37,46.4
Vancouver Canucks,2013/04/15  @ NSH,NSH,1,1,0,0,0,2,5,2,24,38,2,4,50,2,0,100,32,23,58.2
Florida Panthers,2013/04/18  @ NYR,NYR,1,0,1,0,0,0,1,6,35,30,0,1,0,4,2,50,27,24,52.9
Boston Bruins,2013/03/07  vs. TOR,TOR,1,1,0,0,0,2,4,2,25,27,0,3,0,3,0,100,37,23,61.7
Winnipeg Jets,2013/04/18  vs. CAR,CAR,1,1,0,0,0,2,4,3,31,27,1,6,16.7,1,0,100,38,28,57.6
Minnesota Wild,2013/04/21  vs. CGY,CGY,1,0,1,0,0,0,1,4,35,24,0,3,0,3,3,0,36,25,59
New Jersey Devils,2013/04/25  vs. PIT,PIT,1,1,0,0,0,2,3,2,32,18,1,3,33.3,3,1,66.7,24,25,49
New York Islanders,2013/03/26  @ WSH,WSH,1,1,0,0,0,2,3,2,31,22,0,2,0,3,0,100,27,25,51.9
Carolina Hurricanes,2013/03/30  @ WPG,WPG,1,1,0,0,0,2,3,1,28,35,0,6,0,3,0,100,38,24,61.3
Carolina Hurricanes,2013/02/24  @ NYI,NYI,1,1,0,0,0,2,4,2,28,25,1,3,33.3,3,0,100,33,31,51.6
Montreal Canadiens,2013/02/27  @ TOR,TOR,1,1,0,0,0,2,5,2,40,23,1,2,50,1,0,100,29,25,53.7
Toronto Maple Leafs,2013/01/19  @ MTL,MTL,1,1,0,0,0,2,2,1,26,22,2,5,40,5,1,80,21,34,38.2
San Jose Sharks,2013/03/28  vs. DET,DET,1,1,0,0,0,2,2,0,24,27,0,0,0,1,0,100,31,23,57.4
New York Rangers,2013/04/05  @ PIT,PIT,1,0,0,0,1,1,1,1,35,27,0,2,0,2,0,100,25,36,41
